id,label,source,subject,text,char_len,token_len,subject_len,num_urls,num_emails,num_domains,num_exclamation,num_upper_tokens,keyword_hits,num_attachments,has_form_tag,has_script_tag,has_iframe_tag,has_ip_url,has_external_links
enron_1325,0,enron,FW: Great Success By Services Management,"not just evan and i, but the teams are absolutely working together; and in a very positive way -- for one company beth and evan",127,24,40,0,0,0,6,6,0,0,0,0,0,0,0
enron_2897,0,enron,Preliminary 8/13/01 EOL Crude Trading Violations,the preliminary dpr reflects violations for eol crude trading in the following amounts: net open position limit: <num> mil bbls wti net open position: ( <num> ) mil bbls wti maturity gap risk limit: <num> mil bbls wti maturity gap risk: ( <num> ) mil bbls wti var limit: $ <num> mil var: $ <num> mil,299,50,48,0,0,0,0,8,0,0,0,0,0,0,0
enron_1786,0,enron,October (Forward) Positive Displacement Meter PPA Status,"gary and caroline, as of today, we have emailed a list by station ( <num> and/or <num> day charts) to the measurement group which needs to be read for ppa's to correct the daily volumes fro the following shippers: midamerican - <num> stations (it is my understanding you have already <num> of the <num> ) ies - <num> stations interstate power - <num> stations wisconsin power and light - <num> stations in order for gas logistics to keep track of the ones that need to be corrected, we would like for measurement to send us updates on the following information asap: <num> . which station numbers have or have not been corrected for october. <num> . how many october charts have been received and how many are outstanding <num> . provide status of november chart information. gas logistics needs the october corrections in the system by december 19th, which is the time frame for the first prior period run. this is important for us to be able to review the prior period invoices. as you find there are missing charts, if we can be of assistance in calling the field, please let us know. this way, the measurement group can concentrate on reading the charts. we appreciate your assistance and help in tracking these prior periods and helping each of us to keep focused to get these prior period corrections done by the next months billing. if you have any questions, please let rick or i know. thanks. lynn",1406,242,56,0,0,0,0,4,1,0,0,0,0,0,0
enron_2311,0,enron,Polaroid,"if you are available, there is a one-half hour meeting at <num> today on polaroid in eb958.",91,18,8,0,0,0,0,0,0,0,0,0,0,0,0
nazario_2104,1,nazario,Online Banking Profile Update Required,"new page <num> online banking profile update required. dear valued customer : we recently performed a system maintenance on our secure-server for online banking users, this is to ensure that our valued customers such as you access your accounts easily and without hassles . this upgrade was designed in order to provide a better and risk-free online banking session, during an attempt to upgrade your account into our newly-secured secured-server we were unable to update your account therefore leading us to send you this e-mail letter which was sent directly from our secured updating server. you are required to click on the "" update now "" link stated below in order to update your account , clicking on the "" update now "" will take you to our external secured server ( fully secured ) where you will be required to fill in necessary information in order to complete your update process . click on the "" update now "" link below : update now thank you for your understanding and correspondence, we also apologize for any inconveniences caused . online banking accounts department - bank of america . bank of america, member fdic. © <num> bank of america corporation. all rights reserved.",1189,191,38,5,0,2,0,1,19,0,0,0,0,1,1
nazario_1591,1,nazario,Security Center Advisory !,"<html> <head> <meta http-equiv=""content-language"" content=""en-us""> <meta name=""generator"" content=""microsoft frontpage <num> ""> <meta name=""progid"" content=""frontpage.editor.document""> <meta http-equiv=""content-type"" content=""text/html; charset=windows- <num> ""> <title>new page <num> </title> <style> <!-- #message td {font-family: verdana,arial,helvetica,sans-serif;font-size: 12px;color: # <num> ;} #message .pp_heading {font-family: verdana,arial,helvetica,sans-serif;font-size: 18px;font-weight: bold;color: # <num> ;} #message .pp_sansserif{font-family: verdana,arial,helvetica,sans-serif; font-size: 16px;color: # <num> ;} #message hr.dotted {width: <num> %; margin-top: 0px; margin-bottom: 0px; border-left: #fff; border-right: #fff; border-top: #fff; border-bottom: 2px dotted #ccc;} #message .pp_footer {font-family: verdana,arial,helvetica,sans-serif;font-size: 11px;color: #aaaaaa;} --> </style> </head> <body> <table class=""messageheader"" cellspacing="" <num> "" cellpadding="" <num> "" width="" <num> %"" border="" <num> ""> <tr> <td> </td> </tr> </table> <div id=""message"" style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif""> <xmeta content=""microsoft dhtml editing control"" name=""generator""> <xbody > <style type=text/css> #message .dummy {} #message td {font-family: verdana,arial,helvetica,sans-serif;font-size: 12px;color: # <num> ;} #message {font-family: verdana,arial,helvetica,sans-serif;font-size: 12px;color: # <num> ;} #message li {line-height: <num> %;} #message ul.ppsmallborder {margin:10px 5px 10px 20px;} #message li.ppsmallborderli {margin:0px 0px 5px 0px;} #message ul.pp_narrow {margin:10px 5px 0px 40px;} #message hr.dotted {width: <num> %; margin-top: 0px; margin-bottom: 0px; border-left: #fff; border-right: #fff; border-top: #fff; border-bottom: 2px dotted #ccc;} #message .pp_label {font-family: verdana,arial,helvetica,sans-serif;font-size: 10px;font-weight: bold;color: # <num> ;} #message .pp_serifbig {font-family: serif;font-size: 20px;font-weight: bold;color: # <num> ;} #message .pp_serif{font-family: serif;font-size: 16px;color: # <num> ;} #message .pp_sansserif{font-family: verdana,arial,helvetica,sans-serif; font-size: 16px;color: # <num> ;} #message .pp_heading {font-family: verdana,arial,helvetica,sans-serif;font-size: 18px;font-weight: bold;color: # <num> ;} #message .pp_subheadingeoa {font-family: verdana,arial,helvetica,sans-serif;font-size: 15px;font-weight: bold;color: # <num> ;} #message .pp_subheading {font-family: verdana,arial,helvetica,sans-serif;font-size: 16px;font-weight: bold;color: # <num> ;} #message .pp_sidebartext {font-family: verdana,arial,helvetica,sans-serif;font-size: 11px;color: # <num> ;} #message .pp_sidebartextbold {font-family: verdana,arial,helvetica,sans-serif;font-size: 11px;font-weight: bold;color: # <num> ;} #message .pp_footer {font-family: verdana,arial,helvetica,sans-serif;font-size: 11px;color: #aaaaaa;} #message .pp_button {font-size: 13px; font-family: verdana,arial,helvetica,sans-serif; font-weight: <num> ; border-style:outset; color:# <num> ; background-color: #cccccc;} #message .pp_smaller {font-family: verdana,arial,helvetica,sans-serif;font-size: 10px;color: # <num> ;} #message .pp_smallersidebar {font-family: verdana,arial,helvetica,sans-serif;font-size: 10px;color: # <num> ;} #message .ppem106 {font-weight: <num> ;} </style> <table cellspacing="" <num> "" cellpadding="" <num> "" width="" <num> "" align=""center"" border="" <num> ""> <tr valign=""top""> <td style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <a href="" <url> "" target=""_blank""> <img alt=""paypal"" src="" <url> "" border="" <num> "" width="" <num> "" height="" <num> ""></a> </td> </tr> </table> <table cellspacing="" <num> "" cellpadding="" <num> "" width="" <num> %"" border="" <num> ""> <tr> <td width="" <num> %"" background ="" <url> "" style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <img height="" <num> "" src="" <url> "" width="" <num> "" border="" <num> "" </tr> <tr> <td style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <img height="" <num> "" src="" <url> "" width="" <num> "" border="" <num> "" </tr> </table> <table cellspacing="" <num> "" cellpadding="" <num> "" width="" <num> "" align=""center"" border="" <num> ""> <tr valign=""top""> <td width="" <num> "" style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <table cellspacing="" <num> "" cellpadding="" <num> "" width="" <num> %"" border="" <num> "" <tr valign=""top""> <td style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <table cellspacing="" <num> "" cellpadding="" <num> "" width="" <num> %"" border="" <num> "" <tr> <td class=""pp_heading"" align=""left""><br> security center advisory!</td> </tr> </table> </td> </tr> <tr> <td style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <strong> <email> </strong></font> ,<br> <br> paypal is committed to maintaining a safe environment for its community of buyers and sellers. to protect the security of your account, paypal employs some of the most advanced security systems in the world and our anti-fraud teams regularly screen the paypal system for unusual activity.<br> <br> we are currently performing regular maintenance of our security measures. your account has been randomly selected for this maintenance, and you will now be taken through a series of identity verification pages. <br> <br> in order to confirm your paypal records, we may require some specific information from you.<br> <br> <table cellspacing="" <num> "" cellpadding="" <num> "" width="" <num> %"" align=""left"" bgcolor=""#ffe65c"" border="" <num> ""> <tr> <td style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <table cellspacing="" <num> "" cellpadding="" <num> "" width="" <num> %"" align=""center"" bgcolor=""#fffecd"" border="" <num> ""> <tr> <td class=""pp_sansserif"" align=""middle"" <a href="" <url> "" target=""_blank""> click here to verify your account</a></td> </tr> </table> </td> </tr> </table> <p><br> <br> <br> thank you for your prompt attention to this matter. please understand that this is a security measure meant to help protect you and your account. <br> <br> we apologize for any inconvenience.<br> <br> if you choose to ignore our request, you leave us no choise but to temporaly suspend your account.<br> <br> thank you for using paypal! the paypal team</p> </td> </tr> <tr> <td style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <hr class=""dotted""></td> </tr> <tr> <td style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <table cellspacing="" <num> "" cellpadding="" <num> "" width="" <num> %"" border="" <num> "" <tr> <td class=""pp_footer"">please do not reply to this e-mail. mail sent to this address cannot be answered. for assistance, <a href="" <url> "" target=""_blank""> log in</a> to your paypal account and choose the ""help"" link in the footer of any page.<br> <br class=""h10""> to receive email notifications in plain text instead of html, update your preferences <a href="" <url> "" target=_blank > here</a>. </td> </tr> <tr> <td style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <img height="" <num> "" src="" <url> "" width="" <num> "" border="" <num> ""></td> </tr> </table> </td> </tr> <tr> <td style=""font-size: 12px; color: # <num> ; font-family: verdana,arial,helvetica,sans-serif"" <br> <span class=""pp_footer"">paypal email id pp697</span></td> </tr> </table> </td> </tr> </table> </div> </body> </html>",7620,1087,26,7,1,3,4,80,18,0,0,0,0,0,1
enron_4005,0,enron,FW: Freez Notis Presentation,should anyone like to attend...looks like there is a freez notis presentation today at 9am in 3240c... thanks,109,19,28,0,0,0,4,10,0,0,0,0,0,0,0
enron_925,0,enron,Commodity Logic,"sally, i am also working with the commodity logic people, and we thought it will be great if we can sit down with the cl module managers and some of your people (maybe james scribner, beth apollo and leslie reeves) to talk about the pricing assumptions and estimates for commodity logic. i think your group can add a lot value here by validating prices (would you be willing to pay x dollars for the product?, etc.). do you think a meeting is a good idea? if not, can you think of a better way to capture this valuable input? thanks for your help! sergio",554,104,15,0,0,0,1,1,0,0,0,0,0,0,0
nazario_2174,1,nazario,Regions Bank commercial customer support service: please read this message! (message id: B8719778ZJ),"dear regions bank business/corporate customer, regions commercial customer support service requests you to complete regions interact customer form. this procedure is obligatory for all business and corporate customers of regions bank. please click the hyperlink below to access the regions interact customer form: <url> we apologize for any inconvenience caused. please do not reply to this email. it has been sent by regions automatic email service (raes). ***************************************************** © <num> regions financial corporation revision: 0x1, 0x1, 0x63414259, 0x5, 0x123, 0x7, 0x12291478, 0x17111512, 0x977, 0x5657 define i1id tmp 9lz type 2mq hex aih0. 0x50, 0x647, 0x3, 0x9, 0x87322943, 0x846, 0x268 2d2: 0x448, 0x88901930, 0x73, 0x4931, 0x3, 0x90, 0x46, 0x5, 0x564, 0x86, 0x002, 0x3, 0x957, 0x2014 sf1: 0x8, 0x70677627 0x18124502, 0x088, 0x90, 0x86, 0x70153503, 0x06417558, 0x5, 0x527, 0x9847, 0x6, 0x4386, 0x102, 0x4948 0x7, 0x8, 0x65546617, 0x11221097 rva: 0x55, 0x21, 0x993, 0x2, 0x16, 0x47047709, 0x626, 0x715, 0x6, 0x34 wu1: 0x115, 0x9 0x26645994, 0x00, 0x6710, 0x03270147, 0x882, 0x5, 0x877, 0x828, 0x64, 0x65, 0x86, 0x915, 0x5089 0x4013, 0x57528910, 0x127, 0x34, 0x7024, 0x64284493, 0x0177, 0x486, 0x11492609, 0x5611, 0x19, 0x5, 0x51 0x63615180 interface, rcs, 8cf, n8s, hex. close: 0x5069, 0x88893405, 0x67388506, 0x54, 0x20, 0x903, 0x2, 0x7, 0x9674, 0x92 0x81, 0x55764289, 0x09, 0x43283611, 0x20266358, 0x1505, 0x3748 cvs media xbyh create f5ks include 9bvf update. ouxx: 0x8, 0x52, 0x2, 0x380, 0x5, 0x9, 0x659, 0x1509, 0x75906455, 0x04, 0x61433065 0x16, 0x27154146 rxoo: 0x439, 0x4098, 0x1, 0x7104, 0x964, 0x65, 0x851, 0x083, 0x4, 0x887, 0x868, 0x0727, 0x60704942 s3y: 0x66800241, 0x2547, 0x01829743, 0x36128683, 0x459, 0x2, 0x44, 0x67142316, 0x46 fnx: 0x68289012, 0x1, 0x5, 0x209, 0x63391855, 0x145, 0x6, 0x58, 0x90, 0x7, 0x448, 0x85, 0x76953302 0x269, 0x03, 0x75, 0x7505, 0x3128, 0x5066, 0x7 0x0, 0x5274, 0x97, 0x00519470, 0x9 rev type. uo5: 0x5522, 0x8131, 0x7027, 0x42, 0x188, 0x125, 0x97723454, 0x02, 0x8807, 0x747 0x4, 0x105, 0x4485, 0x86749032, 0x668, 0x0, 0x22270180, 0x655, 0x74, 0x1180, 0x034, 0x7332, 0x37987375 0x7, 0x0902, 0x62 kjf p7eb include serv tzq file tmp: 0x82499829, 0x2, 0x843 xc8z: 0x6747, 0x38 dec: 0x7, 0x49, 0x59415880, 0x47614700 icjw: 0x635 61lb: 0x54277388, 0x90, 0x8, 0x1, 0x2942, 0x900, 0x62, 0x25990684, 0x6985, 0x4, 0x11, 0x4, 0x370, 0x42444243 3lbz, revision, wm0, source, define, hex, i7h9, file, q4mu 0x19, 0x9, 0x75757262 0x614, 0x3, 0x4854, 0x17388407 end: 0x81, 0x007, 0x94843544, 0x1, 0x9, 0x8790, 0x462, 0x87142709, 0x725, 0x49, 0x0, 0x2, 0x60, 0x90575155, 0x8872 tmp, 06lb, 0bv, create, tuz, vmz, iik, fw7y, file 95pw: 0x4926, 0x701",2710,377,100,2,0,2,1,12,10,0,0,0,0,0,1
nazario_1363,1,nazario,eBay Member yosdude72,"ebay sent this message from logan mignatos (yosdude72). the registered name is included to show this message originated from ebay. learn more . question from ebay member -- respond now ebay sent this message on behalf of an ebay member through my messages. responses sent using email will go to the ebay member directly and will include your email address. question from yosdude72 activity with yosdude72 (last <num> days): - i have bid on <num> items from yosdude72 yosdude72 ( <num> ) positive feedback: <num> % member since: sep- <num> location: nj, united states registered on: <url> do you still have it for sale? i want to buy it asap. thank you for your time. respond to this question responses in my messages will not include your email address. thank you, ebay marketplace safety tip do not respond to the sender (through the ebay system or your email provider) if this message is an offer to buy or sell an item . this type of offer is against ebay policy, may be fraudulent, and is not covered by buyer protection programs. second chance offer emails with the subject of �message from ebay member� are fake . real second chance offers come directly from ebay and appear in my messages with a blue background and subject stating, �ebay second chance offer for item..."". never pay for your ebay item using instant cash wire transfer services through western union or moneygram . these payment methods are unsafe when paying someone you don�t know. learn more about sending payments. is this email inappropriate? does it violate ebay policy ? help protect the community by reporting it . learn how you can protect yourself from spoof (fake) emails at: <url> this ebay notice was sent on behalf of another ebay member through the ebay platform and in accordance with our privacy policy. if you would like to receive this email in text format, change your notification preferences see our privacy policy and user agreement if you have questions about ebay's communication policies. privacy policy: <url> user agreement: <url> copyright � <num> ebay, inc. all rights reserved. designated trademarks and brands are the property of their respective owners. ebay and the ebay logo are registered trademarks or trademarks of ebay, inc. ebay is located at <num> hamilton avenue, san jose, ca <num> .",2299,377,21,16,0,6,0,2,0,0,0,0,0,0,1
enron_4262,0,enron,SUPPLEMENTAL Weekend Outage Report for 7-20-01 through 7-23-01,"------------------------------------------------------------------------------------------------------ w e e k e n d s y s t e m s a v a i l a b i l i t y f o r july <num> , <num> <num> :00pm through july <num> , <num> <num> :00am ------------------------------------------------------------------------------------------------------ scheduled system outages: ardmore data center - facility operations: no scheduled outages. azurix: no scheduled outages. eb34 data center - facility operations: no scheduled outages. edi server: no scheduled outages. center south data center - facility operations: no scheduled outages north american lans: see original report field services: no scheduled outages. internet: impact: internet postponed time: fri <num> at <num> pm ct thru fri <num> at <num> pm ct fri <num> at <num> pm pt thru fri <num> at <num> pm pt sat7/ <num> at <num> am london thru sat <num> at <num> am london outage: upgrade .com infrastructure environments impacted: internet purpose: standardization and address high peak internet utilization. backout: replace with old circuit, router, and switches. contact(s): john shupak <num> messaging: see original report market data: see original report nt: no scheduled outages. os/ <num> : no scheduled outages. other systems: also see original report impact: saplc-ds01 time: sat <num> at <num> am ct thru sat <num> at <num> pm ct sat <num> at <num> am pt thru sat <num> at <num> pm pt sat <num> at <num> pm london thru sat <num> at <num> pm london outage: accroven telecom room re-organization and electricity grounding checkup environments impacted: accroven plc and jose users purpose: telecom room re-organization and electricity grounding checkup. backout: contact(s): jonathan perret <num> impact: corp time: sat <num> at <num> pm ct thru sun <num> at <num> am ct sat <num> at <num> pm pt thru sat <num> at <num> pm pt sun <num> at <num> am london thru sun <num> at <num> am london outage: cpu replacement for app server sennaca. environments impacted: rms purpose: upgrade to new mirrored cache cpu to help prevent system crashes due to ecache parity. backout: shutdown server and restore to old configuration. contact(s): malcolm wells <num> sitara: no scheduled outages. sun/oss system: no scheduled outages. telephony: no scheduled outages terminal server: no scheduled outages. unify: impact: corp time: sat <num> at <num> pm ct thru sat <num> at <num> pm ct sat <num> at <num> pm pt thru sat <num> at <num> pm pt sun <num> at <num> am london thru sun <num> at <num> am london outage: replace faulty memory on server proton. environments impacted: unify purpose: <num> memory modules are reporting repeat errors. they need to be replaced before the corrupt data. backout: start server with modules oflined. contact(s): malcolm wells <num> ---------------------------------------------------------------------------------------------------------------------------- for assistance ( <num> ) <num> resolution center specific help: information risk management ( <num> ) <num> sap/isc ( <num> ) <num> unify on-call ( <num> ) <num> [pager] sitara on-call ( <num> ) <num> [pager] rus/gops/geotools/aprs ( <num> ) <num> [pager] oss/ua4/tarp ( <num> ) <num> [pager] cpr ( <num> ) <num> [pager] edi support ( <num> ) <num> [pager] ees help desk ( <num> ) <num> or ( <num> ) <num> tds -trader decision support on-call ( <num> ) <num> [pager]",3395,508,62,0,0,0,0,119,0,0,0,0,0,0,0
enron_3806,0,enron,"ISO New England -- Amended Special Interim Market Rule Limiting
 Bids","bids on september <num> , <num> , iso new england filed amendments to the special interim market rule. the amendments would extend bid caps or price limitations: <num> ) from periods of capacity deficiencies to all markets for all hours and <num> ) from october <num> , <num> until october <num> , <num> . if you would like further information, please let me know. susan lindberg x30596",386,60,69,0,0,0,0,2,0,0,0,0,0,0,0
